0,0,Start_Byte,0,1,0,0,0,0,Counts,0,4096,None
1,1,OBC_boot_image,0,1,0,0,0,0,None,0,4096,None
2,2,On-board_time,0,1,0,0,0,0,Time,0,4096,None
3,3,Uptime,0,1,0,0,0,0,Counts,0,4096,None
4,4,Spacecraft_mode,0,1,0,0,0,0,MirSpacecraftMode,0,4096,None
5,5,Seperation_sequence_state,0,1,0,0,0,0,None,0,4096,None
6,6,Solar_array_deployment_state_0,0,1,0,0,0,0,Bit4,0,4096,None
7,7,Solar_array_deployment_state_1,0,1,0,0,0,0,Bit4,0,4096,None
8,8,Solar_array_deployment_state_2,0,1,0,0,0,0,Bit4,0,4096,None
9,9,Solar_array_deployment_state_3,0,1,0,0,0,0,Bit4,0,4096,None
10,10,Antenna_deployment_state_0,0,1,0,0,0,0,Bit16,0,4096,None
11,11,Antenna_deployment_state_1,0,1,0,0,0,0,Bit16,0,4096,None
12,12,Antenna_deployment_state_2,0,1,0,0,0,0,Bit16,0,4096,None
13,13,Antenna_deployment_state_3,0,1,0,0,0,0,Bit16,0,4096,None
14,14,Antenna_deployment_state_4,0,1,0,0,0,0,Bit16,0,4096,None
15,15,Antenna_deployment_state_5,0,1,0,0,0,0,Bit16,0,4096,None
16,16,Antenna_deployment_state_6,0,1,0,0,0,0,Bit16,0,4096,None
17,17,Antenna_deployment_state_7,0,1,0,0,0,0,Bit16,0,4096,None
18,18,ADM_soft_fire_counter,0,1,0,0,0,0,None,0,4096,None
19,19,ADM_hard_fire_counter,0,1,0,0,0,0,None,0,4096,None
20,20,ADM_telemetry_0,0,1,0,0,0,0,Raw10,0,4096,None
21,21,ADM_telemetry_1,0,1,0,0,0,0,Raw10,0,4096,None
22,22,ADM_telemetry_2,0,1,0,0,0,0,Raw10,0,4096,None
23,23,ADM_telemetry_3,0,1,0,0,0,0,Raw10,0,4096,None
24,24,ADM_telemetry_4,0,1,0,0,0,0,Raw10,0,4096,None
25,25,ADM_telemetry_5,0,1,0,0,0,0,Raw10,0,4096,None
26,26,ADM_telemetry_6,0,1,0,0,0,0,Raw10,0,4096,None
27,27,ADM_telemetry_7,0,1,0,0,0,0,Raw10,0,4096,None
28,28,ADM_telemetry_8,0,1,0,0,0,0,Raw10,0,4096,None
29,29,ADM_telemetry_9,0,1,0,0,0,0,Raw10,0,4096,None
30,30,SADM_check_counter,0,1,0,0,0,0,None,0,4096,None
31,31,SADM_telemetry_0,0,1,0,0,0,0,Raw8,0,4096,None
32,32,SADM_telemetry_1,0,1,0,0,0,0,Raw8,0,4096,None
33,33,SADM_telemetry_2,0,1,0,0,0,0,Raw8,0,4096,None
34,34,SADM_telemetry_3,0,1,0,0,0,0,Raw8,0,4096,None
35,35,SADM_telemetry_4,0,1,0,0,0,0,Raw8,0,4096,None
36,36,SADM_telemetry_5,0,1,0,0,0,0,Raw8,0,4096,None
37,37,SADM_telemetry_6,0,1,0,0,0,0,Raw8,0,4096,None
38,38,SADM_telemetry_7,0,1,0,0,0,0,Raw8,0,4096,None
39,39,SADM_telemetry_8,0,1,0,0,0,0,Raw8,0,4096,None
40,40,SADM_telemetry_9,0,1,0,0,0,0,Raw8,0,4096,None
41,41,I2C_nack_addr_count,0,1,0,0,0,0,None,0,4096,None
42,42,I2C_hw_state_error_count,0,1,0,0,0,0,None,0,4096,None
43,43,I2C_isr_error_count,0,1,0,0,0,0,None,0,4096,None
44,44,Battery_current_direction,0,2,0,0,0,0,Boolean,0,4096,None
45,45,Battery_current_0,0,1.327547,0,0,0,0,None,0,4096,None
46,46,Battery_current_1,0,1.327547,0,0,0,0,None,0,4096,None
47,47,Battery_current_2,0,14.662757,0,0,0,0,None,0,4096,None
