159,Type,Field,Bits,Units,Conversion,Module,ModuleNumber,ModuleLine,ModuleType,ShortName,Description
78,Unit10,Solar_array_voltage_4_4,10,-,0,None,0,0,0,Unused,
79,Unit16,Solar_array_temperature_0,16,C,0,Solar Array,3,9,0,Temperature 0,Solar array temperature 0
80,Unit16,Solar_array_temperature_1,16,C,0,Solar Array,3,10,0,Temperature 1,Solar array temperature 1
81,Unit10,EPS_bus_voltage_0,10,V,62,Power Supply (EPS),6,1,0,Bus Voltage V BAT,EPS_bus_voltage_0
82,Unit10,EPS_bus_voltage_1,10,V,63,Power Supply (EPS),6,2,0,Bus Voltage 3V3,EPS_bus_voltage_1
83,Unit10,EPS_bus_voltage_2,10,V,64,Power Supply (EPS),6,3,0,Bus Voltage 5V,EPS_bus_voltage_2
84,Unit10,EPS_bus_voltage_3,10,V,65,Power Supply (EPS),6,4,0,Bus Voltage 12V,EPS_bus_voltage_3
85,Unit10,EPS_bus_current_0,10,mA,66,Power Supply (EPS),6,5,0,Bus Current V BAT,EPS_bus_current_0
86,Unit10,EPS_bus_current_1,10,mA,67,Power Supply (EPS),6,6,0,Bus Current 3V3,EPS_bus_current_1
87,Unit10,EPS_bus_current_2,10,mA,68,Power Supply (EPS),6,7,0,Bus Current 5V,EPS_bus_current_2
88,Unit10,EPS_bus_current_3,10,mA,69,Power Supply (EPS),6,8,0,Bus Current 12V,EPS_bus_current_3
89,Sint16,ADCS_raw_gyro_rate_0,16,deg/s,70,ADCS1,7,1,0,Raw Gyro 0,ADCS_raw_gyro_rate_0
90,Sint16,ADCS_raw_gyro_rate_1,16,deg/s,71,ADCS1,7,2,0,Raw Gyro 1,ADCS_raw_gyro_rate_1
91,Sint16,ADCS_raw_gyro_rate_2,16,deg/s,72,ADCS1,7,3,0,Raw Gyro 2,ADCS_raw_gyro_rate_2
92,Uint8,ADCS_MTQ_direction_duty_0,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_0,ADCS_MTQ_direction_duty_0
